COD_EDIF,COD_DEP,COD_CONT,FEC_INI_ALQ,FEC_FIN_ALQ
EDF003,DPT009,CNT006,2005-08-17 00:00:00.000,2006-08-17 00:00:00.000
EDF002,DPT012,CNT006,2005-08-17 00:00:00.000,2005-11-17 00:00:00.000
EDF001,DPT007,CNT003,2005-07-09 00:00:00.000,2006-03-09 00:00:00.000
EDF005,DPT006,CNT007,2005-08-10 00:00:00.000,2007-08-10 00:00:00.000
EDF005,DPT002,CNT007,2005-08-10 00:00:00.000,2007-08-10 00:00:00.000
EDF003,DPT008,CNT001,2005-04-12 00:00:00.000,2005-07-12 00:00:00.000
EDF001,DPT004,CNT004,2005-10-10 00:00:00.000,2006-04-10 00:00:00.000
EDF002,DPT011,CNT005,2005-02-01 00:00:00.000,2005-08-01 00:00:00.000
EDF001,DPT010,CNT002,2005-07-01 00:00:00.000,2006-06-07 00:00:00.000
EDF006,DPT005,CNT008,2004-02-28 00:00:00.000,2005-02-28 00:00:00.000
EDF007,DPT007,CNT009,2004-12-04 00:00:00.000,2005-03-21 00:00:00.000
EDF001,DPT007,CNT019,2002-04-14 00:00:00.000,2002-12-25 00:00:00.000
EDF009,DPT004,CNT010,2003-03-03 00:00:00.000,2004-03-03 00:00:00.000
EDF008,DPT012,CNT011,2004-08-07 00:00:00.000,2004-12-07 00:00:00.000
EDF018,DPT010,CNT012,2005-11-18 00:00:00.000,2006-05-04 00:00:00.000
EDF025,DPT001,CNT013,2004-04-07 00:00:00.000,2004-12-07 00:00:00.000
EDF015,DPT020,CNT019,2002-07-27 00:00:00.000,2003-01-15 00:00:00.000
EDF030,DPT009,CNT014,2004-06-05 00:00:00.000,2004-10-05 00:00:00.000
EDF001,DPT004,CNT015,2005-07-02 00:00:00.000,2006-01-02 00:00:00.000
EDF034,DPT016,CNT020,2001-06-20 00:00:00.000,2002-06-20 00:00:00.000
EDF017,DPT020,CNT016,2004-08-30 00:00:00.000,2004-12-04 00:00:00.000
EDF027,DPT014,CNT020,2001-07-01 00:00:00.000,2001-12-13 00:00:00.000
EDF009,DPT004,CNT017,2004-09-17 00:00:00.000,2004-12-17 00:00:00.000
EDF003,DPT008,CNT018,2003-10-01 00:00:00.000,2004-02-01 00:00:00.000
EDF001,DPT004,CNT020,2001-07-24 00:00:00.000,2002-12-31 00:00:00.000
